Title,Average_Rating,Director,Number_reviews,Release_Date,Actor1,Actor2,Genre1,Genre2
The Shawshank Redemption,4.55,Frank Darabont,84412,1994,Tim Robbins,Morgan Freeman,Crime,Drama
The Godfather,4.56,Francis Ford Coppola,128547,1972,Marlon Brando,Al Pacino,Crime,Drama
Schindler's List,4.51,Steven Spielberg,36328,1993,Liam Neeson,Ben Kingsley,History,Drama
The Lord of the Rings: The Return of the King,4.49,Peter Jackson,89800,2003,Elijah Wood,Sean Astin,Fantasy,Adventure
The Godfather: Part II,4.59,Francis Ford Coppola,58728,1974,Al Pacino,Robert Duvall,Crime,Drama
The Dark Knight,4.46,Christopher Nolan,153957,2008,Christian Bale,Heath Ledger,Action,Drama
12 Angry Men,4.62,Sidney Lumet,78935,1957,Martin Balsam,John Fiedler,Drama,
Pulp Fiction,4.27,Quentin Tarantino,152455,1994,John Travolta,Samuel L. Jackson,Crime,Thriller
The Lord of the Rings: The Fellowship of the Ring,4.36,Peter Jackson,125443,2001,Elijah Wood,Ian McKellen,Fantasy,Adventure
The Lord of the Rings: The Two Towers,4.38,Peter Jackson,85447,2002,Elijah Wood,Sean Astin,Fantasy,Adventure
"The Good, the Bad and the Ugly",4.49,Sergio Leone,36897,1966,Clint Eastwood,Eli Wallach,Western,
Forrest Gump,4.12,Robert Zemeckis,77477,1994,Tom Hanks,Robin Wright,Drama,Comedy
Inception,4.19,Christopher Nolan,131592,2010,Leonardo DiCaprio,Joseph Gordon-Levitt,Action,Adventure
Fight Club,4.27,David Fincher,257004,1999,Edward Norton,Brad Pitt,Drama,
One Flew Over the Cuckoo's Nest,4.36,Miloš Forman,43558,1975,Jack Nicholson,Brad Dourif,Drama,
GoodFellas,4.48,Martin Scorsese,108086,1990,Ray Liotta,Robert De Niro,Drama,Crime
The Matrix,4.16,Lilly Wachowski,117371,1999,Keanu Reeves,Laurence Fishburne,Science Fiction,Action
The Empire Strikes Back,4.4,Irvin Kershner,84883,1980,Mark Hamill,Harrison Ford,Action,Science Fiction
Star Wars,4.18,George Lucas,100519,1977,Mark Hamill,Harrison Ford,Adventure,Action
Spirited Away,4.46,Hayao Miyazaki,150605,2001,Rumi Hiiragi,Miyu Irino,Family,Fantasy
The Silence of the Lambs,4.33,Jonathan Demme,115039,1991,Jodie Foster,Anthony Hopkins,Horror,Crime
Saving Private Ryan,4.23,Steven Spielberg,39400,1998,Tom Hanks,Tom Sizemore,History,Drama
Se7en,4.32,David Fincher,134595,1995,Morgan Freeman,Brad Pitt,Crime,Mystery
It's a Wonderful Life,4.39,Frank Capra,73618,1946,James Stewart,Donna Reed,Family,Drama
Terminator 2: Judgment Day,4.28,James Cameron,44060,1991,Arnold Schwarzenegger,Linda Hamilton,Thriller,Action
City of God,4.52,Fernando Meirelles,53918,2002,Alexandre Rodrigues,Leandro Firmino,Drama,Crime
Life Is Beautiful,4.33,Roberto Benigni,19684,1997,Roberto Benigni,Nicoletta Braschi,Comedy,Drama
The Green Mile,4.21,Frank Darabont,28226,1999,Tom Hanks,Michael Clarke Duncan,Drama,Crime
Interstellar,4.33,Christopher Nolan,230925,2014,Matthew McConaughey,Anne Hathaway,Science Fiction,Drama
Apocalypse Now,4.44,Francis Ford Coppola,60271,1979,Martin Sheen,Frederic Forrest,Drama,War
Psycho,4.32,Alfred Hitchcock,77840,1960,Anthony Perkins,Janet Leigh,Mystery,Thriller
Casablanca,4.28,Michael Curtiz,61529,1942,Humphrey Bogart,Ingrid Bergman,Drama,Romance
Gladiator,4.09,Ridley Scott,49055,2000,Russell Crowe,Joaquin Phoenix,Action,Adventure
Alien,4.28,Ridley Scott,96983,1979,Sigourney Weaver,Tom Skerritt,Horror,Science Fiction
Back to the Future,4.2,Robert Zemeckis,75458,1985,Michael J. Fox,Christopher Lloyd,Comedy,Science Fiction
Rear Window,4.38,Alfred Hitchcock,54650,1954,James Stewart,Grace Kelly,Mystery,Thriller
The Departed,4.3,Martin Scorsese,75869,2006,Leonardo DiCaprio,Matt Damon,Crime,Thriller
Once Upon a Time in the West,4.38,Sergio Leone,18157,1968,Claudia Cardinale,Henry Fonda,Drama,Western
Léon: The Professional,4.03,Luc Besson,63594,1994,Jean Reno,Natalie Portman,Crime,Action
The Usual Suspects,4.05,Bryan Singer,33154,1995,Kevin Spacey,Gabriel Byrne,Drama,Crime
The Pianist,4.36,Roman Polanski,36026,2002,Adrien Brody,Thomas Kretschmann,Drama,War
The Lion King,4.21,Roger Allers,36672,1994,Matthew Broderick,Moira Kelly,Animation,Family
Harakiri,4.68,Masaki Kobayashi,20022,1962,Tatsuya Nakadai,Akira Ishihama,History,Drama
Modern Times,4.27,Charlie Chaplin,16352,1936,Charlie Chaplin,Paulette Goddard,Comedy,Drama
City Lights,4.34,Charlie Chaplin,14968,1931,Charlie Chaplin,Virginia Cherrill,Drama,Comedy
Parasite,4.57,Bong Joon-ho,294537,2019,Song Kang-ho,Lee Sun-kyun,Comedy,Thriller
The Prestige,4.22,Christopher Nolan,78902,2006,Christian Bale,Hugh Jackman,Science Fiction,Drama
Cinema Paradiso,4.44,Giuseppe Tornatore,33548,1988,Philippe Noiret,Jacques Perrin,Drama,Romance
Grave of the Fireflies,4.45,Isao Takahata,54502,1988,Tsutomu Tatsumi,Ayano Shiraishi,War,Drama
Whiplash,4.43,Damien Chazelle,285776,2014,Miles Teller,J.K. Simmons,Drama,Music
American History X,4.12,Tony Kaye,27520,1998,Edward Norton,Edward Furlong,Drama,
